"","prev.gene","next.gene","start","end","V5","V6"
"1","transcript_id gene-PA0049; gene_id gene-PA0049","transcript_id gene-PA0050; gene_id gene-PA0050","64729","65339","64874","64988"
"2","transcript_id gene-PA0052; gene_id gene-PA0052","transcript_id gene-PA0054; gene_id gene-PA0054","68616","69543","68853","69334"
"3","transcript_id gene-PA0116; gene_id gene-PA0116","transcript_id gene-PA0117; gene_id gene-PA0117","136991","137248","137022","137135"
"4","transcript_id gene-PA0158; gene_id gene-PA0158","transcript_id gene-PA0159; gene_id gene-PA0159","182569","182768","182599","182684"
"5","transcript_id gene-PA0191; gene_id gene-PA0191","transcript_id gene-PA0192; gene_id gene-PA0192","218822","219172","218983","219143"
"6","transcript_id gene-PA0196; gene_id gene-PA0196; gene_name pntB","transcript_id gene-PA0197; gene_id gene-PA0197; gene_name tonB2","227039","227382","227103","227257"
"7","transcript_id gene-PA0263; gene_id gene-PA0263; gene_name hcpC","transcript_id rna-PA0263.1; gene_id gene-PA0263.1","297561","298816","297839","297918"
"8","transcript_id rna-PA0263.1; gene_id gene-PA0263.1","transcript_id gene-PA0265; gene_id gene-PA0265; gene_name gabD","298892","299522","299134","299258"
"9","transcript_id gene-PA0442; gene_id gene-PA0442","transcript_id gene-PA0443; gene_id gene-PA0443","496478","496871","496562","496719"
"10","transcript_id gene-PA0533; gene_id gene-PA0533","transcript_id gene-PA0534; gene_id gene-PA0534","592935","593273","593034","593200"
"11","transcript_id gene-PA0687; gene_id gene-PA0687","transcript_id gene-PA0688; gene_id gene-PA0688","746956","747470","747030","747195"
"12","transcript_id gene-PA0689; gene_id gene-PA0689","transcript_id gene-PA0690; gene_id gene-PA0690","749774","749957","749804","749886"
"13","transcript_id gene-PA0738; gene_id gene-PA0738","transcript_id gene-PA0739; gene_id gene-PA0739","805473","805788","805503","805759"
"14","transcript_id gene-PA0799; gene_id gene-PA0799","transcript_id gene-PA0800; gene_id gene-PA0800","878608","879027","878688","878942"
"15","transcript_id gene-PA0806; gene_id gene-PA0806","transcript_id gene-PA0807; gene_id gene-PA0807; gene_name ampDh3","884172","884799","884509","884620"
"16","transcript_id gene-PA0844; gene_id gene-PA0844; gene_name plcH","transcript_id gene-PA0845; gene_id gene-PA0845","921450","921792","921541","921655"
"17","transcript_id gene-PA0863; gene_id gene-PA0863","transcript_id gene-PA0864; gene_id gene-PA0864","944441","944724","944498","944632"
